track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
214,79,5,2022,12,15,7.520776415062797,16,19.2252913310895,20,8,30.0,2,0.0,95,1,77,72,87,17,0,7,5,False,False,False,True,False,False,False,False,False,False,False
204,244,1,2022,12,9,7.555905093611346,0,19.422699397539677,23,71,14.0,0,9.0,145,0,70,34,55,43,0,16,6,False,False,False,True,False,False,False,False,False,False,False
375,110,2,2023,2,24,7.333023014386481,0,18.82466637817857,32,18,39.0,2,0.0,95,1,64,30,77,46,0,38,6,False,False,False,True,False,False,False,False,False,False,False
422,316,2,2023,3,3,6.423246963533519,2,18.57425803942623,22,82,8.0,0,9.0,94,0,68,81,82,53,0,9,13,False,False,True,False,False,False,False,False,False,False,False
261,194,1,2022,12,2,6.699500340161678,4,18.815889663370957,11,58,5.0,0,21.0,142,1,61,92,91,0,0,26,3,False,False,False,False,False,False,False,False,False,True,False
19,194,1,2023,3,3,5.877735781779639,4,18.301797090338184,4,20,0.0,0,0.0,121,0,64,67,80,0,0,36,3,False,False,False,False,False,False,False,False,True,False,False
369,194,1,2023,3,3,6.405228458030842,6,18.651135749325267,22,101,0.0,0,66.0,140,0,66,43,76,49,0,12,3,False,False,False,False,False,True,False,False,False,False,False
287,70,3,2023,2,23,7.0825485693553,0,18.47006363718512,29,3,18.0,0,19.0,137,0,84,44,67,8,0,11,6,False,False,False,True,False,False,False,False,False,False,False
322,180,1,2023,1,23,4.90527477843843,4,18.93092652364127,4,6,0.0,0,23.0,120,1,56,20,43,89,0,12,4,False,False,False,False,True,False,False,False,False,False,False
157,194,1,2023,1,31,6.066108090103747,0,18.234609794964058,15,17,0.0,0,0.0,144,1,68,83,81,9,0,8,4,False,False,False,False,True,False,False,False,False,False,False
30,17,2,2022,11,5,4.465908118654584,0,18.755981272963673,11,101,0.0,0,48.0,94,1,59,44,56,80,0,6,3,True,False,False,False,False,False,False,False,False,False,False
265,196,2,2022,12,15,7.43955930913332,15,19.21552522678936,30,15,34.0,2,47.0,113,0,79,66,74,8,0,11,5,False,False,False,False,False,False,False,False,False,True,False
213,195,2,2023,3,3,5.799092654460526,0,17.89119768091201,14,35,1.0,0,0.0,148,1,50,49,76,12,0,12,3,False,False,False,False,False,False,True,False,False,False,False
177,146,1,2022,5,31,5.093750200806762,6,18.870337624894933,1,10,1.0,0,1.0,140,1,58,26,38,91,0,10,4,False,False,True,False,False,False,False,False,False,False,False
231,215,2,2022,10,19,8.201385955238608,15,19.7575918748239,118,34,150.0,4,19.0,132,0,87,82,70,42,0,21,5,False,False,False,True,False,False,False,False,False,False,False
429,194,1,2023,3,3,5.645446897643238,0,17.850339925436415,6,15,0.0,0,0.0,142,1,49,48,67,10,0,26,3,False,False,False,False,True,False,False,False,False,False,False
392,230,1,2023,1,20,6.790097235513905,22,18.98257590927511,11,24,7.0,1,7.0,176,0,72,96,63,25,0,21,7,False,False,False,False,False,False,True,False,False,False,False
371,194,1,2022,5,6,6.876264611890766,4,19.129806922615114,16,53,1.0,0,61.0,140,1,53,51,70,49,0,14,3,False,False,False,False,False,False,False,False,True,False,False
164,171,1,2000,10,24,10.129267625171467,6,21.208260029769498,63,0,,2,0.0,105,0,55,40,90,1,0,32,6,False,False,False,False,False,True,False,False,False,False,False
414,168,1,2022,12,8,6.2766434893416445,4,18.715545700118447,20,1,71.0,2,0.0,135,1,81,97,77,75,0,35,3,False,False,False,False,False,False,False,True,False,False,False
203,296,1,2022,7,28,5.493061443340548,0,18.065001675393663,12,2,13.0,0,4.0,128,0,82,61,59,30,0,12,4,False,False,False,False,False,False,True,False,False,False,False
293,313,2,2022,10,20,6.493753839851686,15,19.282967618548703,19,59,18.0,5,52.0,98,1,73,88,57,56,0,5,2,False,False,True,False,False,False,False,False,False,False,False
200,281,1,2023,1,27,7.157735484249907,0,18.80960291579415,57,4,48.0,0,0.0,107,0,66,47,40,72,0,11,3,False,False,True,False,False,False,False,False,False,False,False
14,173,1,2022,7,15,7.75491027202143,2,20.400156185583178,0,0,25.0,0,0.0,109,0,84,72,74,10,0,34,7,False,True,False,False,False,False,False,False,False,False,False
47,194,1,2023,3,3,5.318119993844216,0,17.355047856910243,5,9,0.0,0,0.0,148,1,53,61,81,5,0,36,4,False,False,False,True,False,False,False,False,False,False,False
430,105,1,2020,5,20,6.530877627725885,14,19.81468890457447,24,94,9.0,0,23.0,158,0,60,52,76,17,0,19,5,False,False,False,False,False,False,False,False,True,False,False
40,308,2,2022,9,29,7.8083230503910555,13,19.550416861995117,53,7,56.0,3,1.0,94,0,74,64,73,6,0,10,6,False,False,False,False,False,False,False,True,False,False,False
208,159,1,2022,10,12,5.666426688112432,6,19.5824770962695,11,80,1.0,0,8.0,96,0,70,40,51,35,0,10,4,False,False,False,False,False,False,False,False,True,False,False
237,57,2,2021,9,24,8.720623711420426,13,20.783388227253948,0,0,0.0,0,0.0,105,1,58,42,68,1,0,14,4,True,False,False,False,False,False,False,False,False,False,False
86,194,1,2023,3,3,5.117993812416755,0,17.297579472959836,2,10,0.0,0,0.0,125,1,53,32,66,38,0,9,3,False,False,False,True,False,False,False,False,False,False,False
158,249,3,2023,1,27,7.544861068658458,0,18.457857687337984,86,1,49.0,0,9.0,115,1,70,84,90,17,0,41,6,False,False,False,True,False,False,False,False,False,False,False
13,162,1,2022,10,17,6.635946555686647,12,19.522792641838443,23,95,11.0,0,3.0,105,0,88,82,80,8,0,11,8,False,True,False,False,False,False,False,False,False,False,False
388,273,2,2023,1,13,6.030685260261263,2,18.84496954283833,15,40,21.0,1,15.0,100,1,79,60,68,7,0,26,4,False,False,False,True,False,False,False,False,False,False,False
144,27,1,2016,9,27,6.180016653652572,0,18.625771707437647,9,1,12.0,4,3.0,135,1,92,73,51,55,0,15,6,False,False,False,False,True,False,False,False,False,False,False
169,19,6,2022,12,22,4.9344739331306915,4,14.126800508553213,13,78,2.0,0,0.0,105,1,82,62,74,10,0,33,7,False,False,False,False,False,False,False,False,False,True,False
114,232,2,2022,11,25,7.221835825288449,0,19.032122920155544,12,1,11.0,0,8.0,108,0,44,38,77,9,0,9,20,False,False,False,False,False,False,False,False,True,False,False
100,26,3,2022,11,20,6.7912214627261855,20,19.59427320572491,11,78,35.0,0,21.0,115,1,71,34,88,16,0,44,4,False,False,False,True,False,False,False,False,False,False,False
